last_name,race
Dharmaji,api
Ludewig,white
Staas,white
Satloff,white
Ardiri,white
LÃ¼rling,white
Bercuson,white
Rusakiewicz,white
Gershenzon,white
Hustvedt,white
Santosusso,white
Sipka,white
Liassides,white
Hurel,white
Ruczaj,white
Jentz,white
Casters,white
Tatt,white
Poprocki,white
Twentyman,white
Markofsky,white
Nivi,white
Dallé,white
Budnitz,white
Treadaway,white
Amarga,white
Koskimies,white
Hukkanen,white
Fanous,white
Yahalom,white
Orovan,white
Glavanics,white
Mihovilovic,white
Zolt,white
Ertugrul,white
Vahidi,white
Scleparis,white
Drayton,black
Chaunu,white
Lahov,white
Swaaij,white
Lianza,white
Hildenbiddle,white
Hell,white
Daubach,white
Ribeirinho,white
Proenca,hispanic
Chiaretta,white
Yurista,hispanic
Kralik,white
Musits,white
McCaskey,white
DeGutis,white
"Duff,",white
Pianim,white
Huffington,white
Buehner,white
Smorodinsky,white
Hardtke,white
Tetzchner,white
Assev,white
Gillemyr,white
Wium,white
Selnes,white
Buckmaster,white
Holovaty,white
Sadchikov,white
Ershov,white
Gafurov,white
Issen,white
Stanislas,white
Whiton,white
Metry,white
Szefc,white
Fassino,white
Forney,white
Aarabi,white
Lodwick,white
Nemetz,white
Narayen,white
Geschke,white
Cannavale,white
Gawley,white
Orens,white
TÃ¶rnqvist,white
Caccetta,white
Løvdal,white
Herdrick,white
Fedde,white
Slusky,white
Amen,white
Tumulak,white
Westheimer,white
Razzell,white
Pelter,white
Fitare,white
Ticknor,white
Suhrcke,white
Swartwood,white
Yaphe,white
Forcina,white
Frezza,white
Baus,white
Kleynhans,white
Grigorik,white
Indig,white
Heitzmann,white
Gugnani,white
Hootnick,white
Bacastow,white
Kimbarovsky,white
Papandrew,white
Harbottle,white
Allerts,white
Gilreath,white
FitzPatrick,white
Jebson,white
Rudge,white
Beese,white
Blunnie,white
Panos,white
Mlavsky,white
Pundak,white
Baisley,white
Taghaddos,white
Trefgarne,white
Dunca,white
Rodecker,white
Haluzin,white
Nouzareth,white
Cronkhite,white
Wallenburg,white
Topche,hispanic
Tetu,hispanic
Lavigueur,white
Sanfacon,white
LaViGeur,white
Mulkey,white
Camrind,white
Weinrot,white
Michaelian,white
Wolfgram,white
Karal,white
Mortensson,white
Krassel,white
Machiraju,api
Grellas,white
Oxenford,white
Whatcott,white
Lisitski,white
Kompaniets,white
Conrman,white
Eikenberry,white
Beltramo,hispanic
Maaravi,white
Zailer,white
Pantanacce,white
Densmore,white
Echeruo,white
Krasnove,white
Schoenrock,white
Cimral,white
Yapaola,white
Maritz,white
Chetwynd,white
Etam,white
Tsur,api
Uhrman,white
Rokkos,white
Coblitz,white
Sindwani,api
Allegra,hispanic
Sugden,white
Petillo,white
Totia,white
Ejermark,white
Rajter,white
Wide,white
Ozzie,white
Ballmer,white
Caspers,white
Merydith,white
Karish,white
Begdorf,white
Hoyem,white
Naughtin,white
Zehm,white
Kreiner,white
Nixey,white
Akhund,white
Zan,white
Trifon,white
Arnstein,white
Zadikario,white
Portale,white
Rotolo,white
Lagani,white
Desarnauts,white
Swinstead,white
Kolacinski,white
Callicott,white
Macadar,white
Glickmann,white
Amorao,api
Seroussi,white
Faguet,white
Hose,white
Magescas,white
Ahlvarsson,white
Vitta,white
Schuliger,white
Brachet,white
Addicott,white
Charvet,white
Loiodice,white
Weiman,white
Ceprano,white
"Dantzker,",white
bhushan,api
Hildebolt,white
Nowogrodski,white
Treusdell,white
Laskar,white
Pommerening,white
Hafen,white
Huess,white
"Zoghlami,",white
Viniar,white
DePinto,white
Sliwowicz,white
